new_cases,PRECIPITATION,REL_HUMIDITY,MAX_TEMP,MIN_TEMP,MAX_WIND_SPEED,WIND_S50M,SOLAR1_INS_CLEAR_IND,SOLAR2_ALL_SKY_II,SOLAR3_DWN_THERM_IR,Level
3922,0,79.76,11.03,-1.9,1.68,4.1,0.69,5.38,6.33,Level2
3809,0,78.27,13.91,2.7,0.82,3.62,0.68,5.39,6.74,Level2
4611,0.88,84.77,5.82,0.29,3.75,9.59,0.15,1.18,7.36,Level2
2599,0.36,76.09,6.5,-2.25,5.36,11.19,0.4,3.22,6.66,Level2
4376,0,72.28,8.88,-4.33,4.09,9.84,0.74,5.99,5.2,Level2
7578,0,73.34,11.25,-3.15,1.55,4.19,0.72,5.91,5.47,Level3
4861,0.05,74.63,11.68,-0.54,0.92,3.59,0.71,5.86,5.69,Level2
2116,0.03,82.98,11.39,-0.83,1.3,3.94,0.57,4.72,6.37,Level2
5233,0,75.55,15.62,-0.08,2.19,5.84,0.72,6.03,5.96,Level3
4267,0,67.63,17.52,2.86,3.76,8.63,0.73,6.13,6.05,Level2
1873,0.55,70.26,15.69,4.52,0.31,6.69,0.52,4.41,7.07,Level2
3912,0.01,74.04,18.69,5.67,1.99,4.95,0.69,5.93,6.87,Level2
3777,0.91,76.19,16.43,5.58,1.82,5.51,0.68,5.91,6.93,Level2
3881,0,68.89,20.41,6.37,2.27,4.87,0.7,6.12,6.79,Level2
4286,0,65.51,21.27,7.75,2.09,4.15,0.7,6.21,6.79,Level2
4342,0.03,63.27,21.42,8.4,0.35,2.71,0.69,6.16,7.05,Level2
3114,0.83,76.06,18.34,7.66,2.2,5.77,0.61,5.44,7.57,Level2
1613,0.19,74.75,18.32,6.9,1.32,6.2,0.65,5.89,7.21,Level2
2673,0.03,69.83,12.36,2.87,4.78,8.9,0.74,6.71,5.88,Level2
5497,0,71.29,20.4,0.85,2.56,6.08,0.72,6.57,6.4,Level3
2633,0.85,74.89,19.54,8.4,0.9,5.66,0.55,5.04,7.73,Level2
2641,8.42,82.76,19.23,8.14,2.39,6.34,0.5,4.63,8.09,Level2
405,2.45,85.15,18.6,10.07,1.08,4.15,0.35,3.26,8.18,Level1
2569,10.39,93.73,15.76,9.95,1.85,5.01,0.2,1.89,8.27,Level2
785,10.09,93.16,15.85,10.81,0.4,1.89,0.34,2.41,7.68,Level1
2051,1.64,89.93,15.88,10.77,1.17,3.63,0.34,2.48,7.98,Level2
2667,2.24,83.34,18.17,9.86,0.47,2.63,0.39,2.46,7.29,Level2
1827,0.79,82.26,19.31,10.55,1.55,3.13,0.31,2.27,7.71,Level1
1653,1.15,80.78,20.55,8.83,0.33,1.91,0.22,1.92,7.38,Level1
1773,4.83,81.95,19.67,11.66,0.14,2.47,0.27,2.44,7.89,Level1
1537,2.65,78.67,18.15,9.69,0.77,2.92,0.39,2.73,8.16,Level1
461,18.82,86.1,17.64,7.71,1.52,4.58,0.4,2.45,7.66,Level1
1195,4.7,85.96,14.36,7.69,4.33,7.96,0.34,2.56,7.98,Level1
1065,8.26,87.58,14.51,7.46,3.53,8.04,0.37,2.4,7.52,Level1
1607,9.47,86.96,12.48,7.9,5.55,10.89,0.29,2.05,7.85,Level1
1139,9,85.14,13.94,7.89,4.62,9.69,0.25,2.48,7.59,Level1
604,8.84,85.01,13.09,7.48,4.17,9.86,0.4,2.65,7.28,Level1
0,0.04,94.52,2.64,-2.53,3.98,4.55,0.47,0.9,5.4,Level1
0,0.04,92.35,1.02,-3.92,6.14,6.8,0.45,0.87,5.54,Level1
0,1.51,97.14,4.19,0.11,8.59,9.95,0.11,0.21,6.89,Level1
0,2.53,97.34,3.17,-0.18,9.49,9.54,0.12,0.23,6.26,Level1
0,0.66,98.59,2.6,-1.52,3.84,4.94,0.33,0.64,6.13,Level1
0,0.12,96.91,3.16,-2.02,5.6,6.13,0.14,0.27,6.52,Level1
0,0.59,98.39,3.78,-2.11,5.74,6.69,0.2,0.4,6.48,Level1
0,4.09,95.79,4.52,1.14,7.31,8.2,0.1,0.2,7.98,Level1
0,9.5,96.52,7.8,3.82,6.77,8.23,0.1,0.21,8.03,Level1
0,2.11,94.87,7.2,2.22,7.26,8.77,0.25,0.53,7.18,Level1
0,0.07,91.75,4.33,-0.59,5.27,6.59,0.42,0.88,5.82,Level1
0,0.24,92.72,2.96,-1.32,8.76,9.5,0.3,0.65,6.25,Level1
0,0.33,95.87,4.76,1.97,6.64,7.24,0.31,0.68,6.49,Level1
0,0.04,87.38,6.81,2.24,9.34,11.35,0.21,0.47,7.06,Level1
0,0.06,86.73,9.3,4.67,8.75,10.65,0.43,0.96,6.92,Level1
0,0.06,99.33,9.64,1.97,5.5,6.07,0.47,1.06,6.11,Level1
